THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
201395,Chittagong,Chandpur,Shahrasti,48,0,0,50.89052007,19.86172051,0.383887995,0.270426536,,7.052545277,5.653283787
201504,Chittagong,Chittagong,Anowara,49,0.81117066,37.28370188,221.2059244,86.79393799,35.25312039,24.83375188,,50.42763334,57.33102688
201508,Chittagong,Chittagong,Banshkhali,50,2.175670921,100,252.7803326,99.2023585,47.04008707,33.13697731,,77.11897717,89.13150201
201512,Chittagong,Chittagong,Boalkhali,51,0.329532,15.1462244,200.5842285,78.68982174,47.96338796,33.78738854,,43.71818378,49.33728608
201518,Chittagong,Chittagong,Chandanaish,52,0,0,234.0623116,91.84636708,21.43801775,15.10182383,,37.29512111,41.68475102
201533,Chittagong,Chittagong,Fatikchhari,54,0.65,29.87584169,144.7264109,56.73826892,0.928663383,0.654188786,,29.41289316,32.29374413
201537,Chittagong,Chittagong,Hathazari,55,0,0,182.5877745,71.6173988,18.69718401,13.17106751,,29.5526276,32.46022588
201547,Chittagong,Chittagong,Lohagara,56,0,0,252.4655719,99.07866075,0,0,,34.72507989,38.62276462
201553,Chittagong,Chittagong,Mirsharai,57,0.291762,13.41020819,114.1052304,44.70445717,5.250732284,3.698832366,,21.09551248,22.38428961
201561,Chittagong,Chittagong,Patiya,58,0,0,224.1154552,87.93735393,101.307226,71.36498801,,54.94352425,62.71132836
201570,Chittagong,Chittagong,Rangunia,59,0.813264935,37.37996069,200.5376206,78.67150531,69.55566546,48.9978793,,55.77898041,63.7067036
201574,Chittagong,Chittagong,Raozan,60,0.3,13.78885001,182.6412501,71.63841417,60.74128815,42.78866841,,43.86666356,49.51418717
201578,Chittagong,Chittagong,Sandwip,61,0.650209907,29.88548961,158.4846575,62.14511956,64.41667564,45.37776293,,46.42863881,52.56656365
201582,Chittagong,Chittagong,Satkania,62,0,0,245.2537786,96.24449951,53.86211505,37.94269517,,46.55739521,52.719966
201586,Chittagong,Chittagong,Sitakunda,63,0.342581231,15.74600403,184.6104885,72.41230478,48.83719136,34.40293169,,41.91293762,47.18648821
202216,Chittagong,Cox'S Bazar,Chakaria,64,1.215530482,55.86922499,254.7212741,99.96512872,141.9564815,100,,86.24131939,100
202224,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0.743582887,34.17717633,202.8253314,79.57055233,35.05258273,24.69248488,,46.88056665,53.10499739
202245,Chittagong,Cox'S Bazar,Kutubdia,66,1.280836687,58.87088321,251.9362484,98.87064201,17.26517944,12.16230443,,57.10126319,65.28209152
202249,Chittagong,Cox'S Bazar,Maheshkhali,67,1.55507595,71.47569676,247.0486802,96.94987754,29.74334597,20.95243955,,63.32569155,72.69797064
202256,Chittagong,Cox'S Bazar,Pekua,68,1.887670722,86.76269484,254.8100074,100,93.32383638,65.74115912,,84.29627071,97.68263927
