THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,,Result,Score
WEIGHT,,,,,,,,,,
202224,Chittagong,Cox'S Bazar,Chakaria,64,0.7252805,108.819657,8.509722043,,0,#DIV/0!
202245,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,108.2705622,10.01157817,,0,#DIV/0!
202249,Chittagong,Cox'S Bazar,Kutubdia,66,0.756583,115.2727772,6.879993894,,0,#DIV/0!
202256,Chittagong,Cox'S Bazar,Maheshkhali,67,1.519544862,114.5203176,13.06644223,,0,#DIV/0!
202266,Chittagong,Cox'S Bazar,Pekua,68,0.369266333,111.7170228,5.198094697,,0,#DIV/0!
202290,Chittagong,Cox'S Bazar,Ramu,69,0,105.1587882,5.701042908,,0,#DIV/0!
202294,Chittagong,Cox'S Bazar,Teknaf,70,1.8112752,98.67295433,6.21787877,,0,#DIV/0!
203014,Chittagong,Cox'S Bazar,Ukhia,71,0,102.6110626,7.232596474,,0,#DIV/0!
203025,Chittagong,Feni,Chhagalnaiya,72,0,84.56391348,7.217676239,,0,#DIV/0!
203029,Chittagong,Feni,Daganbhuiyan,73,0,88.51294577,0,,0,#DIV/0!
203041,Chittagong,Feni,Feni Sadar,74,0,85.33362691,2.249758062,,0,#DIV/0!
203051,Chittagong,Feni,Fulgazi,75,0,78.31611953,0,,0,#DIV/0!
203094,Chittagong,Feni,Parshuram,76,0,74.28582492,0,,0,#DIV/0!
205133,Chittagong,Feni,Sonagazi,77,0.449224,94.2798331,1.420218045,,0,#DIV/0!
205143,Chittagong,Lakshmipur,Kamalnagar,78,0,108.169593,1.083888267,,0,#DIV/0!
205158,Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.2070215,95.92517316,6.088944899,,0,#DIV/0!
205165,Chittagong,Lakshmipur,Ramganj,80,0,79.88870505,0,,0,#DIV/0!
205173,Chittagong,Lakshmipur,Ramgati,81,0.766349028,127.659923,10.64537892,,0,#DIV/0!
207507,Chittagong,Lakshmipur,Roypur,82,0.131469143,86.42618414,3.212790015,,0,#DIV/0!
207510,Chittagong,Noakhali,Begumganj,83,0,90.40948989,0,,0,#DIV/0!
207521,Chittagong,Noakhali,Chatkhil,84,0,83.36488029,0,,0,#DIV/0!
207536,Chittagong,Noakhali,Companiganj,85,0.2795723,104.8311398,6.273491575,,0,#DIV/0!
207547,Chittagong,Noakhali,Hatiya,86,1.594160897,194.0407229,33.09118829,,0,#DIV/0!
207580,Chittagong,Noakhali,Kabirhat,87,0,98.46190756,0,,0,#DIV/0!
207583,Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,104.35991,0,,0,#DIV/0!
207585,Chittagong,Noakhali,Senbagh,89,0,89.61761978,0,,0,#DIV/0!
207587,Chittagong,Noakhali,Sonaimuri,90,0,83.67856822,0,,0,#DIV/0!
303532,Chittagong,Noakhali,Subarnachar,91,0.515827,124.1904791,7.74464822,,0,#DIV/0!
303543,Dhaka,Gopalganj,Gopalganj Sadar,92,0,53.55003656,0.573955128,,0,#DIV/0!
303551,Dhaka,Gopalganj,Kashiani,93,0,46.70447372,0.222828928,,0,#DIV/0!
303558,Dhaka,Gopalganj,Kotali Para,94,0.211166,63.45392131,0,,0,#DIV/0!
303591,Dhaka,Gopalganj,Muksudpur,95,0,47.00215205,0.277131659,,0,#DIV/0!
308614,Dhaka,Gopalganj,Tungi Para,96,0,61.98321122,0.306192973,,0,#DIV/0!
308625,Dhaka,Shariatpur,Bhedarganj,97,0,66.25656424,2.150152237,,0,#DIV/0!
308636,Dhaka,Shariatpur,Damudya,98,0,66.04623113,0,,0,#DIV/0!
308665,Dhaka,Shariatpur,Gosairhat,99,0,72.22542015,1.296264767,,0,#DIV/0!
308669,Dhaka,Shariatpur,Naria,100,0,59.8968939,1.961162678,,0,#DIV/0!
308694,Dhaka,Shariatpur,Shariatpur Sadar,101,0,61.46017518,0,,0,#DIV/0!
400108,Dhaka,Shariatpur,Zanjira,102,0.557465765,54.29039498,1.444109473,,0,#DIV/0!
400114,Khulna,Bagerhat,Bagerhat Sadar,103,0,70.21732692,0,,0,#DIV/0!
400134,Khulna,Bagerhat,Chitalmari,104,0,67.99605114,0.612478385,,0,#DIV/0!
400138,Khulna,Bagerhat,Fakirhat,105,0,57.20257864,0,,0,#DIV/0!
400156,Khulna,Bagerhat,Kachua,106,0,75.77582683,1.843132326,,0,#DIV/0!
400158,Khulna,Bagerhat,Mollahat,107,0,57.26186934,0.476274324,,0,#DIV/0!
400160,Khulna,Bagerhat,Mongla,108,0.590037455,113.831812,9.896521713,,0,#DIV/0!
400173,Khulna,Bagerhat,Morrelganj,109,0,94.91063684,6.418538621,,0,#DIV/0!
400177,Khulna,Bagerhat,Rampal,110,0,70.68877007,1.928627188,,0,#DIV/0!
404104,Khulna,Bagerhat,Sarankhola,111,0.714715,131.9900438,35.5279572,,0,#DIV/0!
404109,Khulna,Jessore,Abhaynagar,112,0,40.06801559,0.007383822,,0,#DIV/0!
404111,Khulna,Jessore,Bagher Para,113,0,30.19177246,0,,0,#DIV/0!
404123,Khulna,Jessore,Chaugachha,114,0,20.64539991,0,,0,#DIV/0!
404138,Khulna,Jessore,Jhikargachha,115,0,25.36790832,0,,0,#DIV/0!
404147,Khulna,Jessore,Keshabpur,116,0,36.96959192,0,,0,#DIV/0!
404161,Khulna,Jessore,Kotwali,117,0,30.49330898,0.004535229,,0,#DIV/0!
404190,Khulna,Jessore,Manirampur,118,0,34.42713353,0,,0,#DIV/0!
404712,Khulna,Jessore,Sharsha,119,0,23.55348501,0,,0,#DIV/0!
404717,Khulna,Khulna,Batiaghata,120,0,53.15515321,0.82418643,,0,#DIV/0!
404730,Khulna,Khulna,Dacope,121,0.1519478,92.08589907,5.393414746,,0,#DIV/0!
404740,Khulna,Khulna,Khulna City Corporation,124,0,48.34146629,0.262394764,,0,#DIV/0!
404753,Khulna,Khulna,Dighalia,122,0,44.34006539,0.025410725,,0,#DIV/0!
404764,Khulna,Khulna,Dumuria,123,0,46.55846285,0.319901083,,0,#DIV/0!
404769,Khulna,Khulna,Koyra,125,0.2493075,84.55085187,5.035224564,,0,#DIV/0!
404775,Khulna,Khulna,Paikgachha,126,0,53.38023574,1.246257766,,0,#DIV/0!
404794,Khulna,Khulna,Phultala,127,0,38.26374565,0.007474944,,0,#DIV/0!
406528,Khulna,Khulna,Rupsa,128,0,52.4386919,0.238373459,,0,#DIV/0!
406552,Khulna,Khulna,Terokhada,129,0,49.61869729,0.040525232,,0,#DIV/0!
406576,Khulna,Narail,Kalia,130,0,50.35924945,0.607478582,,0,#DIV/0!
408704,Khulna,Narail,Lohagara,131,0,42.02848825,0.592602204,,0,#DIV/0!
408725,Khulna,Narail,Narail Sadar,132,0,36.93353953,0.004065388,,0,#DIV/0!
408743,Khulna,Satkhira,Assasuni,133,0,51.20077709,1.071794252,,0,#DIV/0!
408747,Khulna,Satkhira,Debhata,134,0,35.53096439,0.040605541,,0,#DIV/0!
408782,Khulna,Satkhira,Kalaroa,135,0,30.0190825,0,,0,#DIV/0!
408786,Khulna,Satkhira,Kaliganj,136,0,44.2431012,0.227952357,,0,#DIV/0!
408790,Khulna,Satkhira,Satkhira Sadar,137,0,36.74732524,0.079222009,,0,#DIV/0!
1,Khulna,Satkhira,Shyamnagar,138,0.672747167,74.00681541,6.1355666,,0,#DIV/0!
2,Khulna,Satkhira,Tala,139,0,41.86006531,0.140664319,,0,#DIV/0!
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,.710,0.284526309,0.284526309,,,,,,,
,.905,0.362545763,0.362545763,,,,,,,
,.881,0.352927928,0.352927928,,,,,,,
,2.496,,,,,,,,,
