THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
201395,Chittagong,Chandpur,Shahrasti,48,0,0,102.6124915,33.26680619,5.040087359,3.45729892,,12.11102518,10.52797361
201504,Chittagong,Chittagong,Anowara,49,0.750643786,13.55033463,154.5229321,50.15013397,5.221218201,3.581547454,,22.15942674,20.75736645
201508,Chittagong,Chittagong,Banshkhali,50,0.33935648,6.125933428,158.0396401,51.29390646,5.524971262,3.78990994,,20.16272055,18.72469569
201512,Chittagong,Chittagong,Boalkhali,51,0.325939,5.883726209,144.6203988,46.92943861,19.6974633,13.51167425,,21.97785387,20.5725231
201518,Chittagong,Chittagong,Chandanaish,52,0,0,148.0213499,48.03556237,7.752108447,5.317637226,,17.59913343,16.11493338
201533,Chittagong,Chittagong,Fatikchhari,54,0.65,11.73355148,135.6049897,43.9972711,4.127792587,2.831501091,,19.28356962,17.82970955
201537,Chittagong,Chittagong,Hathazari,55,0.294464429,5.315559288,142.7252668,46.31306675,15.41185694,10.57191921,,20.58188314,19.15140822
201547,Chittagong,Chittagong,Lohagara,56,0,0,151.1390705,49.04956839,0,0,,16.11159003,14.60059642
201553,Chittagong,Chittagong,Mirsharai,57,0.265644,4.795303922,136.5412973,44.30179536,9.661075391,6.627112417,,18.39938857,16.92960267
201561,Chittagong,Chittagong,Patiya,58,0,0,149.6054053,48.55075982,1.323240656,0.907690317,,16.25851294,14.7501657
201570,Chittagong,Chittagong,Rangunia,59,1.000508673,18.06080003,138.7112507,45.00755,29.85911097,20.48215929,,27.74116188,26.43963951
201574,Chittagong,Chittagong,Raozan,60,0.35,6.318066182,141.2181965,45.8229079,23.56967811,16.16785918,,22.66675683,21.27383455
201578,Chittagong,Chittagong,Sandwip,61,0.99726212,18.0021945,165.9796374,53.87630753,12.7511431,8.746775627,,26.61715494,25.29538701
201582,Chittagong,Chittagong,Satkania,62,0,0,150.8996743,48.97170728,8.551983184,5.866319395,,18.09448866,16.61921092
201586,Chittagong,Chittagong,Sitakunda,63,0.2636601,4.759491318,147.0925746,47.73348792,6.478972562,4.444316784,,18.76749631,17.30434074
202216,Chittagong,Cox'S Bazar,Chakaria,64,0.7752205,13.99398407,158.7629528,51.52915635,15.38486346,10.55340276,,25.14541015,23.79713324
