THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,,,
WEIGHT,,,,,,,,,,,,,,,,,
201547,Chittagong,Chittagong,Lohagara,56,0,,72.85722173,,0,,,0,#DIV/0!,,,,
201553,Chittagong,Chittagong,Mirsharai,57,0.351241,,22.34082247,,1.155028267,,,0,#DIV/0!,,,,
201561,Chittagong,Chittagong,Patiya,58,0,,37.91306579,,5.701044262,,,0,#DIV/0!,,,,
201570,Chittagong,Chittagong,Rangunia,59,1.128522374,,36.86574121,,2.847129809,,,0,#DIV/0!,,,,
201574,Chittagong,Chittagong,Raozan,60,0,,25.89666549,,2.365505303,,,0,#DIV/0!,,,,
201578,Chittagong,Chittagong,Sandwip,61,0.484603958,,17.68177,,1.071726363,,,0,#DIV/0!,,,,
201582,Chittagong,Chittagong,Satkania,62,0,,54.84009863,,0.517606073,,,0,#DIV/0!,,,,
201586,Chittagong,Chittagong,Sitakunda,63,0.3960064,,17.84522017,,1.567024335,,,0,#DIV/0!,,,,
202216,Chittagong,Cox'S Bazar,Chakaria,64,0.755942,,110.3643369,,3.64656902,,,0,#DIV/0!,,,,
202224,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0.280347,,118.7428965,,27.06349255,,,0,#DIV/0!,,,,
202245,Chittagong,Cox'S Bazar,Kutubdia,66,0.788245167,,47.906694,,1.581406097,,,0,#DIV/0!,,,,
202249,Chittagong,Cox'S Bazar,Maheshkhali,67,1.636957774,,111.773267,,11.6166339,,,0,#DIV/0!,,,,
202256,Chittagong,Cox'S Bazar,Pekua,68,0.330149333,,68.49023121,,2.784275679,,,0,#DIV/0!,,,,
202266,Chittagong,Cox'S Bazar,Ramu,69,0,,118.6835298,,27.67643883,,,0,#DIV/0!,,,,
202290,Chittagong,Cox'S Bazar,Teknaf,70,2.2171957,,93.50154513,,2.505581549,,,0,#DIV/0!,,,,
202294,Chittagong,Cox'S Bazar,Ukhia,71,0,,109.2974706,,2.474298033,,,0,#DIV/0!,,,,
203014,Chittagong,Feni,Chhagalnaiya,72,0,,23.97824474,,1.213465472,,,0,#DIV/0!,,,,
203025,Chittagong,Feni,Daganbhuiyan,73,0,,23.4194851,,0,,,0,#DIV/0!,,,,
203029,Chittagong,Feni,Feni Sadar,74,0,,23.38954196,,0.305219228,,,0,#DIV/0!,,,,
203041,Chittagong,Feni,Fulgazi,75,0,,24.80038978,,0,,,0,#DIV/0!,,,,
203051,Chittagong,Feni,Parshuram,76,0,,26.03117507,,0,,,0,#DIV/0!,,,,
203094,Chittagong,Feni,Sonagazi,77,0.450963,,21.72786265,,0.383054159,,,0,#DIV/0!,,,,
205133,Chittagong,Lakshmipur,Kamalnagar,78,0,,24.32549631,,0.619670798,,,0,#DIV/0!,,,,
