THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,,,
201582,Chittagong,Chittagong,Satkania,62,0,33.90886888,1.483576399,,14.68881633,3.13028448
201586,Chittagong,Chittagong,Sitakunda,63,0.521293,36.14207777,0.396688241,,15.21099136,4.128277515
202216,Chittagong,Cox'S Bazar,Chakaria,64,0.638855,34.85692264,0.79210045,,14.87020276,3.47695444
202224,Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,34.53376026,0.445881048,,14.49080643,2.75184337
202245,Chittagong,Cox'S Bazar,Kutubdia,66,0.781826667,36.85268619,0.76959358,,15.70727757,5.076791238
202249,Chittagong,Cox'S Bazar,Maheshkhali,67,0.28856875,36.50074393,1.317379386,,15.73065969,5.12147969
202256,Chittagong,Cox'S Bazar,Pekua,68,0.353426667,35.8128455,1.650892874,,15.60215931,4.875886768
202266,Chittagong,Cox'S Bazar,Ramu,69,0,33.52764011,0.104639942,,13.92416821,1.668871249
202290,Chittagong,Cox'S Bazar,Teknaf,70,0.9061426,31.49228745,0.324546148,,13.3107351,0.496463671
202294,Chittagong,Cox'S Bazar,Ukhia,71,0,32.70218705,0.266891211,,13.65389183,1.152312775
203014,Chittagong,Feni,Chhagalnaiya,72,0,33.96071279,3.638659182,,15.65869039,4.983930289
203025,Chittagong,Feni,Daganbhuiyan,73,0,37.66759157,0,,15.59177082,4.856032045
203029,Chittagong,Feni,Feni Sadar,74,0,35.2934628,0.963295139,,15.0329755,3.788049472
203041,Chittagong,Feni,Fulgazi,75,0,32.84801976,0,,13.5968023,1.043201936
203051,Chittagong,Feni,Parshuram,76,0,31.52937022,0,,13.05097284,0
203094,Chittagong,Feni,Sonagazi,77,0.6796455,38.05566252,0.525502089,,16.08288885,5.794668222
205133,Chittagong,Lakshmipur,Kamalnagar,78,0,51.48430846,0.140356892,,21.37270209,15.90468202
205143,Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.915505,49.21095647,1.396525049,,21.11816133,15.41819781
205158,Chittagong,Lakshmipur,Roypur,82,0.5849224,46.73741015,1.399126763,,20.04716895,13.37129233
205165,Chittagong,Lakshmipur,Ramganj,80,0,40.99391103,0,,16.9686364,7.487529499
205173,Chittagong,Lakshmipur,Ramgati,81,0.820392803,51.97901076,0.965746915,,22.0604808,17.21918064
207507,Chittagong,Noakhali,Begumganj,83,0,42.06921614,0,,17.41373815,8.33821829
207510,Chittagong,Noakhali,Chatkhil,84,0,40.51687032,0,,16.77117463,7.110135981
207521,Chittagong,Noakhali,Companiganj,85,0.4214719,42.30610314,0.735985139,,17.89721648,9.262253294
207536,Chittagong,Noakhali,Hatiya,86,0.587132317,58.41657804,2.237589101,,25.2508498,23.3166879
207547,Chittagong,Noakhali,Kabirhat,87,0,41.36510215,0,,17.12228379,7.781183943
207580,Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,45.42717095,0,,18.80369858,10.99474291
207583,Chittagong,Noakhali,Senbagh,89,0,39.04463396,0,,16.16177087,5.945429373
207585,Chittagong,Noakhali,Sonaimuri,90,0,39.79930337,0,,16.47415168,6.542458815
207587,Chittagong,Noakhali,Subarnachar,91,0.649515875,48.05008995,1.090963314,,20.46433981,14.16859895
303532,Dhaka,Gopalganj,Gopalganj Sadar,92,0,53.39109926,0.659139859,,22.39028857,17.84951691
303543,Dhaka,Gopalganj,Kashiani,93,0,46.18729258,0.329930307,,19.26353279,11.87358872
303551,Dhaka,Gopalganj,Kotali Para,94,0.211166,56.40277324,0,,23.37766427,19.73661225
303558,Dhaka,Gopalganj,Muksudpur,95,0,43.19972746,0.19254008,,17.96642497,9.394526149
303591,Dhaka,Gopalganj,Tungi Para,96,0,56.80693978,0.970049107,,23.9410354,20.81334022
308614,Dhaka,Shariatpur,Bhedarganj,97,0,41.76491962,1.816144462,,18.08703394,9.625036822
308625,Dhaka,Shariatpur,Damudya,98,0,44.09533186,0,,18.25240956,9.941106533
308636,Dhaka,Shariatpur,Gosairhat,99,0,46.85162671,0.888736161,,19.78444174,12.86916199
308665,Dhaka,Shariatpur,Naria,100,0,40.4384189,1.373105362,,17.34298086,8.202985317
308669,Dhaka,Shariatpur,Shariatpur Sadar,101,0,43.51973926,0,,18.01415413,9.485747243
308694,Dhaka,Shariatpur,Zanjira,102,0.415077333,39.83857636,1.080266746,,17.02641031,7.597948324
400108,Khulna,Bagerhat,Bagerhat Sadar,103,0,75.57079029,0,,31.28106665,34.84177824
400114,Khulna,Bagerhat,Chitalmari,104,0,64.22734406,1.637199219,,27.30616931,27.24486222
400134,Khulna,Bagerhat,Fakirhat,105,0,66.98449738,0,,27.72693681,28.04904284
400138,Khulna,Bagerhat,Kachua,106,0,75.74201041,0,,31.35193991,34.97723285
400156,Khulna,Bagerhat,Mollahat,107,0,59.45150012,0.756640385,,24.94178254,22.72599138
400158,Khulna,Bagerhat,Mongla,108,0.2042993,128.5441703,11.75667139,,58.41210316,86.69524468
400160,Khulna,Bagerhat,Morrelganj,109,0,97.18143993,3.864038382,,41.92687277,55.1882899
400173,Khulna,Bagerhat,Rampal,110,0,80.04055326,4.633668918,,35.1704353,42.27522984
400177,Khulna,Bagerhat,Sarankhola,111,0.795362667,131.0271155,23.0483377,,64.49542283,98.32182637
404104,Khulna,Jessore,Abhaynagar,112,0,50.23709387,0.006063525,,20.79734157,14.80503965
404109,Khulna,Jessore,Bagher Para,113,0,40.90879977,0,,16.93340624,7.4201968
404111,Khulna,Jessore,Chaugachha,114,0,35.43582664,0,,14.6679749,3.090451852
404123,Khulna,Jessore,Jhikargachha,115,0,42.14126365,0,,17.44356082,8.395216072
404138,Khulna,Jessore,Keshabpur,116,0,51.75409355,0,,21.42260579,16.00005913
404147,Khulna,Jessore,Kotwali,117,0,42.29699353,0.005483409,,17.51043535,8.523028216
404161,Khulna,Jessore,Manirampur,118,0,47.97016111,0,,19.85632016,13.0065377
404190,Khulna,Jessore,Sharsha,119,0,41.04603628,0,,16.99021264,7.528766505
404712,Khulna,Khulna,Batiaghata,120,0,68.08309214,1.854895849,,28.99798612,30.47830176
404717,Khulna,Khulna,Dacope,121,0.2148085,127.6789321,15.28844142,,59.60975905,88.9842324
404730,Khulna,Khulna,Dighalia,122,0,54.37007379,0.005962847,,22.50806435,18.07461271
404740,Khulna,Khulna,Dumuria,123,0,62.53364507,0.559602583,,26.13086392,24.99859131
404753,Khulna,Khulna,Koyra,125,0.1706225,124.4012169,25.64906507,,62.80609112,95.09313642
404764,Khulna,Khulna,Paikgachha,126,0,73.93757569,1.329096351,,31.18994115,34.66761707
